"","Sample_ID","Plate_Number","Cq","qPCR_Coordinate","Row","Col","UDI_ID","Set","cycles_15","cycles_18","cycles_21","cycles_24","cycles_27","cycles_28","order","Index_cord"
"1","247_719","TP3","19","B4","A",1,"UDI12A_0097","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,97,"A_1"
"2","204_765","TP2","19","F5","B",1,"UDI12A_0098","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,98,"B_1"
"3","196_1004","TP2","19","E9","C",1,"UDI12A_0099","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,99,"C_1"
"4","257_1340","TP3","19","B9","D",1,"UDI12A_0100","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100,"D_1"
"5","184_1455","TP2","19","D9","E",1,"UDI12A_0101","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,101,"E_1"
"6","237_3343","TP3","19","A6","F",1,"UDI12A_0102","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,102,"F_1"
"7","192_3420","TP2","19","E6","G",1,"UDI12A_0103","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,103,"G_1"
"8","252_4360","TP3","19","B7","H",1,"UDI12A_0104","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,104,"H_1"
"9","252_4616","TP3","19","B8","A",2,"UDI12A_0105","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,105,"A_2"
"10","342_LC005","TP3","19","H1","B",2,"UDI12A_0106","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,106,"B_2"
"11","164_LC016","TP2","19","C5","C",2,"UDI12A_0107","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,107,"C_2"
"12","297_LC018","TP3","19","E1","D",2,"UDI12A_0108","UDI_Set_A2",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,108,"D_2"
