initial_alias,converted_alias,name,description,contrast,contrast_ID
LOC110067385,110067385,LOC110067385,melanocyte-stimulating hormone receptor-like,3,SCTLD_affected_Low_vs_SCTLD_affected_Some
LOC110040879,110040879,LOC110040879,protamine-like,3,SCTLD_affected_Low_vs_SCTLD_affected_Some
LOC110051347,110051347,LOC110051347,putative uncharacterized protein DDB_G0292330,3,SCTLD_affected_Low_vs_SCTLD_affected_Some
LOC110047047,110047047,LOC110047047,protein kinase C-binding protein 1-like,3,SCTLD_affected_Low_vs_SCTLD_affected_Some
LOC110053470,110053470,LOC110053470,uncharacterized LOC110053470,3,SCTLD_affected_Low_vs_SCTLD_affected_Some
LOC110044475,110044475,LOC110044475,"U1 small nuclear ribonucleoprotein 70 kDa-like, transcript variant X2",3,SCTLD_affected_Low_vs_SCTLD_affected_Some
